College Code,College Name,College Type,Choice Code,Course Name,Stage,Category,Number,Percent,Group
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,GOPEN,1432,91.37%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,GSC,2087,90.26%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,GSEBC,2895,89.21%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,LOPEN,1270,91.68%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,LST,7466,85.05%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,LOBC,1376,91.48%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100219110,Civil Engineering,Stage-I,EWS,6296,85.95%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GOPEN,658,93.21%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GSC,2779,89.37%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GST,27871,73.60%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,GOBC,1094,92.05%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,LOPEN,396,94.16%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,LSEBC,2806,89.31%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224210,Computer Science and Engineering,Stage-I,EWS,3001,89.09%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224610,Information Technology,Stage-I,GOPEN,1320,91.58%,Eng
1002,"Government College of Engineering, Amravati (Government Autonomous)",Government Autonomous,100224610,Information Technology,Stage-I,GST,33650,70.80%,Eng
